@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-9,11-12,14,17-18,20,25'

@attribute distFromSource numeric
@attribute hour numeric
@attribute minute numeric
@attribute regionCode {30,40,50,60,70,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute typeMeasurementId {0,1,2,3,4,5,7,8,9,10}
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute logrunupHt {m,s,l}

@data
317.002296,9,36.035092,81,1,8,7,6.88237,8,8.530885,33,s
2410.190057,20,54,88,1,7.6,2,6.88237,8.009683,8,33,s
80.414545,4,35,85,1,8.1,1,6.88237,8,8.530885,30,l
11285.60646,19,11,81,1,9.5,2,6.88237,8.5,12,33,s
183.820361,22,54,89,1,8.3,10,6.88237,8.009683,9,22,s
14565.57405,0,58,88,1,9.1,2,7,8.8,8.530885,30,s
578.780292,10.267355,36.035092,85,0,8.30368,2,4.9,8.009683,8.530885,10,s
181.375807,22,54,89,1,8.3,5,6.88237,8.009683,9,22,l
92.615824,7,10,85,3,7.5,5,6.9,7.2,9,10,l
98.106835,11,14,86,1,8.3,5,6.5,7.8,8.530885,10,l
8.624578,22,31,50,1,6.6,5,6.88237,8.009683,7,7,s
114.972803,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
1424.405607,23,24,86,1,8.8,1,7,8,8,35,s
9160.652805,6,34,88,1,8.8,1,7.2,8.5,9,22,s
3778.498591,14,22,80,1,8.6,5,6.88237,9.1,8.530885,33,m
7387.031831,0,16,80,1,7.6,2,5.4,7.7,8.530885,30,s
244.850222,2,43,86,1,7.1,2,6.3,7.1,8,50,s
32.743522,20,39,82,1,8.1,4,6.8,7.9,8.530885,24,m
30.276284,11,51,50,1,7,10,6.88237,8.009683,8,21,s
119.281441,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
69.080855,1,22,85,1,8.1,1,6.88237,8.3,9,45,s
41.303248,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,m
3965.621167,0,42,87,1,7.5,2,6.88237,7.5,7,30,s
86.548185,4,35,85,1,8.1,1,6.88237,8,8.530885,30,l
57.515049,1,22,85,1,8.1,1,6.88237,8.3,9,45,s
106.883083,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
174.912146,19,19,85,1,8.3,1,6.88237,8.1,8.530885,15,s
2624.498508,3,36,88,3,9.2,1,6.88237,8.4,10,25,m
98.248868,11,14,86,1,8.3,5,6.5,7.8,8.530885,10,l
22.676112,7,10,85,3,7.5,4,6.9,7.2,9,10,s
