distFromSource,doubtful,hour,minute,regionCode,sourceEqMagnitude,typeMeasurementId,eqMagMb,eqMagMs,intensity,eqDepth,logrunupHt
4974.185773,n,16,58,80,9,5,6.88237,8.5,7,22,m
3615.370408,n,12,29,80,8.6,5,6.88237,7.3,6,15,l
231.008423,n,0,58,60,9.1,4,7,8.8,8.530885,30,l
60.458499,n,10,2,83,7.5,5,6.88237,8.009683,9,20,m
705.189796,n,1,22,85,8.1,2,6.88237,8.3,9,45,s
63.625753,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
17249.13849,n,23,46,85,8.2,2,6.88237,8.009683,8,25,s
4368.560715,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
25.807782,n,2,32,85,6.9,1,6.4,6.7,10,44,s
7758.456541,a,2,59,81,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
125.05337,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
301.695743,n,7,42,85,7.1,2,6.88237,8.009683,8.530885,25,s
45.754241,n,21,56,74,7.6,5,6.3,7.4,10,10,s
441.263345,n,2,59,85,7.8,2,6.8,7.7,8,24,s
178.578687,n,17,48,81,8.1,4,7.1,8.1,8.530885,18,m
261.763985,n,6,34,89,8.8,5,7.2,8.5,9,22,l
243.554366,n,13,37,60,6.9,2,6.88237,8.009683,4,25,s
97.158715,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
117.289627,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
1771.661647,n,13,19,81,7.7,3,6.88237,8.009683,7,10,s
261.88513,n,18,10,85,7.6,2,6.88237,7.3,8.530885,74,s
46.788289,n,10,2,83,7.5,10,6.88237,8.009683,9,20,m
100.353259,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
3355.276985,a,4,14,82,8.300422,3,6.88237,8.009683,8.530885,26.742663,s
315.503461,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
1627.654182,n,0,58,60,9.1,4,7,8.8,8.530885,30,l
5601.192927,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
895.137747,n,5,46,86,9.1,1,7.2,8.3,8.530885,29,m
3168.711304,n,4,23,80,8.1,2,7.3,8.2,8.530885,10,s
181.88215,n,22,54,89,8.3,10,6.88237,8.009683,9,22,m
4716.489512,n,8,49,85,7,2,5.8,7.1,8.530885,25,s
10588.43806,n,21,30,81,8.5,1,6.88237,8.5,11,25,m
50.925453,n,1,22,85,8.1,1,6.88237,8.3,9,45,m
130.58326,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,s
4983.122731,n,16,58,80,9,5,6.88237,8.5,7,22,s
44.661318,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
3832.313062,n,12,29,80,8.6,5,6.88237,7.3,6,15,m
217.519364,n,10,5,86,7,2,6.3,7,5,41,s
7015.736941,n,18,1,88,7.9,2,6.6,7.9,5,33,s
55.856109,n,18,44,82,7.6,5,6.5,7.8,8.530885,13,m
249.209713,n,17,31,85,8.4,1,6.88237,8.5,8.530885,15,m
731.543431,n,2,59,86,7.8,2,6.8,7.7,8,24,m
17031.72766,n,19,11,85,9.5,1,6.88237,8.5,12,33,s
183.763099,n,15,8,85,7.5,2,6.88237,7.5,9,10,s
2789.132254,n,18,10,85,7.6,2,6.88237,7.3,8.530885,74,s
261.877547,n,18,17,60,7.8,4,5.7,7.2,8.530885,18,l
4668.624511,n,7,17,80,8.1,2,7.7,8.2,8.530885,25,s
