area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
MIYAGI,SAMOA,29.0,168.896053,n,17.0,-14.04008,"MATATUFU, UPOLU ISLAND",-171.60141,48.0,9.0,True,81,10.9,1,8.1,4,True,5,2009,7.1,8.1,8.530885,18.0,9.0,m
NIIGATA,JAPAN,1.0,98.546125,n,7.0,37.82585,"SADO CITY, HAMO (02)",138.30327,10.0,1.0,True,85,9.0,3,7.5,4,True,4,2024,6.9,7.2,9.0,10.0,0.0,m
MIYAGI,JAPAN,11.0,124.502304,n,5.0,38.1822,"MIYAGI PREFECTURE, TOHOKU REGION",140.958317,46.0,3.0,True,85,24.1,1,9.1,4,True,5,2011,7.2,8.3,8.530885,29.0,10.0,l
MIYAZAKI,JAPAN,13.0,70.190493,n,12.0,32.433,HOSOSHIMA,131.667,19.0,1.0,True,85,32.0,1,6.8,4,True,2,2025,6.88237,8.009683,8.530885,36.0,91.0,s
TOKYO,JAPAN,17.0,5762.763793,n,19.0,33.1,"YAENE, HACHIJO ISLAND",139.767,42.0,7.0,True,85,23.2,1,7.9,4,True,2,1980,5.8,7.9,8.530885,33.0,0.0,s
AOMORI,JAPAN,20.0,187.268163,n,6.0,40.533,HACHINOHE,141.533,32.0,2.0,True,85,32.2,1,6.4,4,True,2,1979,6.0,6.4,8.530885,10.0,0.0,s
SHIZUOKA,JAPAN,11.0,516.128856,n,5.0,34.617,IROZAKI,138.85,46.0,3.0,True,85,24.1,1,9.1,4,True,2,2011,7.2,8.3,8.530885,29.0,81.0,s
AK,USA,23.0,10794.29133,n,20.0,60.119,"SEWARD, AK",-149.427,33.0,6.0,True,87,14.1,1,8.4,4,True,2,2001,6.7,8.2,8.0,33.0,0.0,s
EAST JAVA,INDONESIA,2.0,241.128834,n,18.0,-8.35,"NGLIYEP, MALANG",112.353333,17.0,6.0,True,60,34.0,1,7.8,4,True,4,1994,5.7,7.2,8.530885,18.0,0.0,m
WEST JAVA,INDONESIA,17.0,195.360368,n,8.0,-7.81648,CIRAPANTI,108.40668,19.0,7.0,True,60,26.0,1,7.7,4,True,4,2006,6.1,7.2,8.530885,20.0,14.0,l
CHIBA,JAPAN,15.0,1587.4294,n,11.0,35.75,CHOSHI,140.867,14.0,11.0,True,85,13.5,1,8.3,4,True,2,2006,6.5,7.8,8.530885,10.0,0.0,s
COQUIMBO,CHILE,16.0,181.744785,n,22.0,-29.959933,COQUIMBO (WM328),-71.335549,54.0,9.0,True,89,32.9,1,8.3,4,True,10,2015,6.88237,8.009683,9.0,22.0,15.0,m
"OKUSHIRI IS, HOKKAIDO",JAPAN,26.0,178.756304,n,2.0,42.05,AONAEKO,139.45,59.0,5.0,True,85,59.6,1,7.8,4,True,1,1983,6.8,7.7,8.0,24.0,0.0,m
MIYAGI,JAPAN,11.0,95.045272,n,5.0,38.889444,"MIYAGI PREFECTURE, TOHOKU REGION",141.585361,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,8.0,l
AK,USA,4.0,1586.018508,n,16.0,51.863,"ADAK, SWEEPER COVE, AK",-176.632,58.0,11.0,True,87,27.9,1,9.0,4,True,2,1952,6.88237,8.5,7.0,22.0,8.0,s
GU,USA TERRITORY,19.0,1947.070848,n,10.0,13.433,"APRA HARBOR, GUAM",144.65,57.0,3.0,True,81,12.0,1,7.8,4,True,2,1952,6.88237,7.8,7.0,26.742663,18.0,s
NIIGATA,JAPAN,16.0,81.506065,n,4.0,38.25,SEKI,138.417,1.0,6.0,True,85,44.3,1,7.5,4,True,1,1964,6.88237,8.009683,5.0,40.0,27.0,s
