@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14,17-20'

@attribute distFromSource numeric
@attribute regionCode {30,40,50,60,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute elevation numeric
@attribute logrunupHt {m,s,l}

@data
2522.196913,85,1,7.6,6.4,7.6,6,50,0,s
127.10024,60,1,7.8,6.5,7.3,8.530885,20,9,m
11.720048,85,1,7.9,6.88237,7.9,8.530885,35,9,m
201.609657,81,1,8.1,7.1,8.1,8.530885,18,21,l
9605.323658,88,1,8,6.6,7.3,7,46,0,s
179.53282,81,1,8.1,7.1,8.1,8.530885,18,14,m
173.222532,85,1,7.5,6.88237,7.5,9,10,0,m
323.952015,85,1,8.1,6.88237,8.3,9,45,176,m
391.134126,60,1,7.7,6.1,7.2,8.530885,20,10,m
355.332084,85,1,7.4,6.3,7.2,10,56,0,s
217.808507,85,1,9.1,7.2,8.3,8.530885,29,9,l
55.371559,81,1,7.8,7.1,8,9,59,0,s
8407.330682,88,1,8,7.2,7.8,7,55,0,s
5816.4878,88,3,7.7,6,7.2,9,2,8,s
10994.56771,80,1,9.5,6.88237,8.5,12,33,12,m
58.06979,60,1,9.1,7,8.8,8.530885,30,23,m
3832.948647,85,1,8.8,7,8,8,35,6,s
7933.302672,81,1,9.1,7.2,8.3,8.530885,29,2,s
2039.984671,60,1,9.1,7,8.8,8.530885,30,19,m
437.269406,60,1,8.3,7,8,8.530885,25,10,m
7333.919961,73,1,8.6,8,8.6,11,33,88,s
724.056566,86,1,8.1,7.3,8.2,8.530885,10,27,s
67.790421,89,1,8.1,6.4,7.7,9,23,0,m
17188.47316,85,1,9.5,6.88237,8.5,12,33,8,s
2725.499726,85,1,8.3,6.88237,8.1,8.530885,15,647,l
723.170265,86,1,9.1,7.2,8.3,8.530885,29,4,m
4899.571227,60,1,9.1,7,8.8,8.530885,30,6,m
144.986774,89,1,8.2,6.88237,8.009683,8,25,6,m
6249.680016,80,1,9.1,7.2,8.3,8.530885,29,4,m
118.956178,89,1,7.5,5.8,6.6,4,10,0,l
117.985082,85,1,9.1,7.2,8.3,8.530885,29,9,l
73.341192,82,3,7,5.8,7.1,8.530885,25,14,m
145.053831,89,1,8.2,6.88237,8.009683,8,25,11,m
246.526431,85,1,9.1,7.2,8.3,8.530885,29,9,l
56.208927,85,3,7.5,6.9,7.2,9,10,8,m
122.202743,88,1,7.3,6.88237,8.009683,8.530885,28,5,m
8.355829,84,1,6.7,6.3,6.6,8,11,4,m
243.735791,85,1,9.1,7.2,8.3,8.530885,29,9,l
10393.02205,82,1,8,6.6,7.4,8.530885,33,0,s
103.702745,85,1,9.1,7.2,8.3,8.530885,29,7,l
282.217152,85,1,8.1,6.88237,8.3,9,45,7,m
11153.86065,80,1,9.5,6.88237,8.5,12,33,5,m
98.201711,85,1,9.1,7.2,8.3,8.530885,29,6,m
193.907004,85,1,8.2,6.88237,8.009683,6,7,0,l
7726.530269,88,1,9.1,7.2,8.3,8.530885,29,37,s
40.497423,85,1,6.6,6.2,6.6,5,14,0,s
3547.535254,80,1,8.6,6.88237,9.1,8.530885,33,7,l
182.975496,89,1,8.3,6.88237,8.009683,9,22,11,s
194.194562,85,1,9.1,7.2,8.3,8.530885,29,19,l
182.535697,89,1,8.3,6.88237,8.009683,9,22,9,s
95.864803,85,1,6.5,6.88237,6.5,8.530885,26.742663,22,m
206.957837,85,1,8,6.88237,8,5,26.742663,27,m
14590.27995,87,1,8.8,7.2,8.5,9,22,68,s
8033.031012,81,1,8,6.4,7.7,6,19,5,s
103.719585,85,1,9.1,7.2,8.3,8.530885,29,9,m
3667.175204,80,1,7.6,6.88237,8.009683,8,33,6,s
744.492463,85,1,7.8,6.8,7.7,8,24,131,m
7995.71448,87,1,7.9,6.4,7.4,8,24,15,s
268.536706,85,1,7,6.88237,8.009683,8.530885,40,0,s
71.851385,85,1,8.3,6.9,8.1,8.530885,27,6,m
7.375269,85,3,7.5,6.9,7.2,9,10,8,m
181.51016,89,1,8.3,6.88237,8.009683,9,22,16,m
10046.36506,88,1,8.1,6.88237,8.009683,9,19,5,s
399.040729,85,1,9.1,7.2,8.3,8.530885,29,0,m
3774.610501,80,1,8.6,6.88237,9.1,8.530885,33,0,m
4172.34197,85,1,8,6.4,7.7,6,19,0,s
281.933032,85,1,8.2,6.88237,8.009683,6,7,0,m
9530.998888,88,1,7.6,6.4,7.3,8.530885,45,12,s
188.375827,87,3,8.6,6.88237,7.3,6,15,40,l
69.554146,83,3,7.5,6.88237,8.009683,9,20,12,s
16987.80261,85,1,9.5,6.88237,8.5,12,33,104,m
1903.42761,85,1,9.1,7.2,8.3,8.530885,29,6,s
52.696116,85,1,6.1,5.5,5.9,8.530885,10,100,s
585.012931,85,1,9.1,7.2,8.3,8.530885,29,6,s
24.503303,86,1,7.1,6.3,7.1,9,9,25,m
120.487083,85,1,7.2,6.88237,7.1,8.530885,25,33,s
3962.574976,85,1,7.6,6.5,7.8,8.530885,13,0,s
3516.407924,80,3,8.6,6.88237,7.3,6,15,47,m
103.209145,85,1,9.1,7.2,8.3,8.530885,29,8,l
15755.96516,86,1,9.5,6.88237,8.5,12,33,22,s
