area,causeCode,country,damageAmountOrder,damageAmountOrderTotal,damageMillionsDollars,damageMillionsDollarsTotal,day,deaths,deathsAmountOrder,deathsAmountOrderTotal,deathsTotal,earthquakeEventId,eqDepth,eqMagnitude,eventValidity,hour,housesDamaged,housesDamagedAmountOrder,housesDamagedAmountOrderTotal,housesDamagedTotal,housesDestroyed,housesDestroyedAmountOrder,housesDestroyedAmountOrderTotal,housesDestroyedTotal,id,injuries,injuriesAmountOrder,injuriesAmountOrderTotal,injuriesTotal,latitude,locationName,longitude,maxWaterHeight,minute,missing,missingAmountOrder,missingAmountOrderTotal,missingTotal,month,numDeposits,numRunups,oceanicTsunami,publish,regionCode,second,tsIntensity,tsMtAbe,tsMtIi,volcanoEventId,warningStatusId,year
,1,ISRAEL,3,4,,,29,,3,3,,361,,,3,,,,,,,,4,,90,,,,,29.5,GULF OF AQABA,34.95,,,,,,,5,1,3,TRUE,TRUE,30,,4,,,,,1068
,0,CHINA,1,1,,,31,,1,1,,,,,1,,,,,,,1,1,,91,,,,,23,"GUANGDONG PROVINCE, SOUTH CHINA SEA",117,,,,,,,10,3,1,TRUE,TRUE,84,,1,,,,,1076
,1,JAPAN,,,,,10,,,,,5904,,7,4,,,,,,,,,,93,,,,,40.5,"MIYAKO, IWATE PREFECTURE",143,,,,,,,6,0,1,TRUE,TRUE,85,,1.5,,1,,,1088
,9,JAPAN,,,,,13,,,,,,,,-1,,,,,,,,,,95,,,,,,"TERADOMARI, NIIGARA PREFECTURE",,,,,,,,9,0,0,TRUE,TRUE,85,,2,,2,,,1092
,1,JAPAN,2,2,,,17,,,,,375,,8.4,4,,,,,,400,3,3,400,96,,,,,34,ENSHUNADA,137.5,7,,,,,,12,3,5,TRUE,TRUE,85,,2,,2.5,,,1096
,0,UK,,,,,11,,,,,,,,1,,,,,,,,,,97,,,,,50.116,"WEST CORNWALL, ENGLAND",-5.483,,,,,,,11,0,1,TRUE,TRUE,73,,,,,,,1099
,2,ITALY,,,,,,,,,,,,,-1,,,,,,,,,,98,,,,,45.5,MALAMOCCO,12.3,,,,,,,3,0,1,TRUE,TRUE,50,,3,,,,,1106
,0,NORTH SEA,,,,,1,,,,,,,,1,,,,,,,,,,99,,,,,,SOUTHERN NORTH SEA,,,,,,,,10,0,0,TRUE,TRUE,73,,,,,,,1134
,3,SYRIA,1,4,,,20,,,4,30000,440,,7.6,4,2,,,,,,,4,,100,,,,,33.5,SOUTHWESTERN SYRIA,36,,40,,,,,5,0,3,TRUE,TRUE,50,,5,,,,,1202
,1,CYPRUS,,3,,,11,,,3,,5936,,6.6,3,6,,,,,,,,,101,,,,,34.75,CYPRUS ISLAND,32.4,,15,,,,,5,0,2,TRUE,TRUE,50,,4,,,,,1222
,1,JAPAN,1,1,,,22,,,,,5937,,7,4,,,,,,,,,,104,,,,,35.2,"KAMAKURA, SAGAMI BAY",139.4,,,,,,,5,0,2,TRUE,TRUE,85,,1,,1,,,1241
,1,JAPAN,,,,,9,,,,,5938,,7.5,4,,,,,,,,,,105,,,,,39,OFF SANRIKU,144,,,,,,,10,0,1,TRUE,TRUE,85,,2,,2,,,1257
,1,JAPAN,1,1,,,9,,,,,5939,,7,4,,,,,,,,,,106,,,,,35.2,"SAGAMI BAY, JAPAN",139.5,,,,,,,10,0,3,TRUE,TRUE,85,,1,,1,,,1257
,1,ALBANIA,,,,,,,,,,7798,,6.5,2,,,,,,,,,,108,,,,,41.3,ALBANIAN COASTS,19.7,,,,,,,9,0,1,TRUE,TRUE,50,,3,,,,,1273
,1,JAPAN,,3,,,27,,,4,23024,494,,7.1,-1,,,,,,,,,,110,,,,,35.2,"KAMAKURA, SAGAMI BAY",139.4,,,,,,,5,0,1,TRUE,TRUE,85,,1,,1,,,1293
,1,GREECE,3,3,,,8,,3,4,4000,5940,,8,3,,,,3,,,3,3,,111,,,,,35,AEGEAN SEA,27,,,,,,,8,2,9,TRUE,TRUE,50,,4,,,,,1303
,1,JAPAN,,,,,15,,,,,5941,,7,4,,,,,,,,,,114,,,,,33.7,"OFF TANABE, WAKAYAMA PREFECTURE",135.2,,,,,,,8,0,0,TRUE,TRUE,85,,,,0,,,1331
,1,TURKEY,2,2,,,12,,,,,6016,,6.8,2,,,,,,,,,,115,,,,,40.9,CONSTANTINOPLE,28.9,,,,,,,2,0,1,TRUE,TRUE,50,,3,,,,,1332
,1,JAPAN,,,,,31,2600,4,4,2600,5942,,7,3,,,,,,,,,,116,,,,,41,"JUSANKO, TSUGARU AOMORI PREFECTURE",139.5,,,,,,,10,1,1,TRUE,TRUE,85,,2.5,,2.5,,,1341
,1,JAPAN,,,,,22,,3,3,,6003,,7,4,,,,,,,,,,122,,,,,33.4,KUMANONADA,136.2,,,,,,,11,0,3,TRUE,TRUE,85,,2,,2.5,,,1360
,1,JAPAN,4,4,,,3,660,3,3,660,556,,8.4,4,,,,,,1700,4,4,1700,124,,,,,33,NANKAIDO,135,,,,,,,8,1,6,TRUE,TRUE,85,,3,,4,,,1361
,1,GREECE,2,2,,,20,,,1,2,573,,6.7,3,,,,,,,,,,126,,,,,38.4,"CHIOS ISLAND, AEGEAN ISLANDS",26.3,,,,,,,3,0,3,TRUE,TRUE,50,,3,,,,,1389
,1,GREECE,,,,,16,,,,,6015,,,2,,,,,,,,,,127,,,,,,AEGEAN SEA - ASIA MINOR,,,,,,,,11,0,1,TRUE,TRUE,50,,3,,,,,1403
,1,JAPAN,,,,,,,,,,5944,,7,4,,,,,,,,,,128,,,,,33.7,KUMANONADA,136.5,2,,,,,,12,0,2,TRUE,TRUE,85,,1,,1,,,1403
,9,JAPAN,,,,,16,,,,,7382,,6.2,-1,,,,,,,,,,129,,,,,34.4,"SHIZUOKA, JAPAN",138.4,,,,,,,10,0,0,TRUE,TRUE,85,,1,,1,,,1406
,0,NORTH KOREA,,,,,23,,,,,,,,1,,,,,,,,,,130,,,,,38,"HAEJU COAST, YELLOW SEA",125.7,,,,,,,8,0,1,TRUE,TRUE,84,,0,,,,,1407
,1,JAPAN,,,,,21,,,,,5945,,7,4,,,,,,,,,,131,,,,,33.8,KUMANONADA,136.9,2,,,,,,1,0,2,TRUE,TRUE,85,,1,,1,,,1408
,0,JAPAN,,,,,6,,,,,,,,3,21,,,,,,,,,132,,,,,,"IBARAKI, JAPAN",,2,,,,,,9,5,2,TRUE,TRUE,85,,1,,1,,,1420
,1,JAPAN,,3,,,7,,,3,,5946,,7.1,4,,,,,,,,,,133,,,,,34.9,OFF IZU-OSHIMA,139.5,2,,,,,,11,0,1,TRUE,TRUE,85,,1,,1,,,1433
,0,SOUTH KOREA,1,1,,,6,,,,,,,,1,,,,,,,,,,135,,,,,37.5,"INCHON, CHEMULPO BAY, YELLOW SEA",126,,,,,,,8,0,1,TRUE,TRUE,84,,0.5,,,,,1434
,1,JAPAN,2,2,,,19,,,,,5947,,7,3,,,,,,,,,,136,,,,,37.5,"SADO, JAPAN",138.2,,,,,,,9,1,1,TRUE,TRUE,85,,2,,2,,,1448
,1,GREECE,1,1,,,3,,1,1,,635,,7.1,4,,,,,,,,,,137,,,,,36,ISLAND OF RHODES,28,3,,,,,,5,0,1,TRUE,TRUE,50,,3,,,,,1481
,2,TURKEY,,,,,,,,,,5948,,,2,,,,,,,,,,139,,,,,,SOUTH COASTS OF ASIA MINOR,,,,,,,,,0,0,TRUE,TRUE,50,,3,,,,,1489
,1,JAPAN,,1,,,12,200,3,3,200,651,,7.1,4,,,,,,,,1,,142,,,,,35.1,"KAMAKURA, SAGAMI BAY, TOKAIDO",139.5,5,,,,,,9,0,2,TRUE,TRUE,85,,2,,2,,,1495
,1,JAPAN,,1,,,9,,,,,6031,,6.4,2,,,,,,,,,,144,,,,,34.4,ENSHUNADA,137.7,,,,,,,7,0,4,TRUE,TRUE,85,,,,0,,,1498
,1,VENEZUELA,3,3,,,2,,3,3,,5949,,,2,,,,,,,3,3,,145,,,,,9.9,BOCA DE LA SIERPE,-62.3,,,,,,,8,0,1,TRUE,TRUE,74,,,,,,,1498
,1,JAPAN,4,3,,,20,5000,4,4,5000,7383,,8.3,4,,,,,,1000,4,4,1000,146,,,,,34,ENSHUNADA SEA,138.1,10,,,,,,9,5,6,TRUE,TRUE,85,,4,,3,,,1498
HI,0,USA,,,,,,,3,3,,6697,,,2,,,,,,,,,,147,,,,,,HAWAII,,,,,,,,,0,1,TRUE,TRUE,80,,,,,,,1500
,1,JAPAN,,,,,10,,,,,,,,-1,,,,,,,,,,148,,,,,,TOKAIDO,,,,,,,,7,0,0,TRUE,TRUE,85,,,,,,,1500
,1,GREECE,,,,,29,,,,,668,,7.1,2,,,,,,,,,,149,,,,,35,ISLAND OF CRETE,25.5,,,,,,,5,0,1,TRUE,TRUE,50,,3,,,,,1508
,1,CHINA,,,,,17,,,,,6004,,,2,,,,,,,,,,151,,,,,31.5,SOUTH CHINA SEA,121.5,,,,,,,6,0,3,TRUE,TRUE,84,,0,,,,,1509
,1,TURKEY,,4,,,10,,,4,5000,670,,7.7,3,,,,,,,,4,1700,152,,,,,40.8,MARMARA SEA,28.1,6,,,,,,9,0,1,TRUE,TRUE,50,,3,,,,,1509
,1,JAPAN,1,1,,,21,,,,,5950,,6.7,4,,,,,,,,,,154,,,,,34.6,OSAKA BAY,135.4,2,,,,,,9,0,1,TRUE,TRUE,85,,1,,1,,,1510
,9,JAPAN,,,,,10,,,,,6017,,,-1,,,,,,,,,,156,,,,,34.5,ENSHUNADA SEA,137.6,,,,,,,10,0,1,TRUE,TRUE,85,,1,,2,,,1510
,1,ITALY,,3,,,26,,,1,15,677,10,6.5,2,,,,,,,,3,,157,,,,,46.2,NORTH ADRIATIC,13.433,,,,,,,3,0,2,TRUE,TRUE,50,,3,,,,,1511
,0,JAPAN,,,,,,3700,4,4,3700,,,,1,,,,,,,,,,158,,,,,,TOKUSHIMA PREFECTURE,,,,,,,,10,0,1,TRUE,TRUE,85,,1.5,,,,,1512
,0,SOUTH KOREA,,,,,24,,,,,,,,1,,,,,,,,,,159,,,,,36.3,"CHUNGCHONG PROVINCE, YELLOW SEA",126,,,,,,,9,0,1,TRUE,TRUE,84,,0,,,,,1519
,1,JAPAN,1,1,,,4,,,,,5951,,7,4,,,,,,,2,2,,160,,,,,33.6,"KII, KUMANANONADA",136.3,2,,,,,,4,0,1,TRUE,TRUE,85,,1,,1,,,1520
,0,JAPAN,,,,,,,,,,,,,-1,,,,,,,,,,161,,,,,,NANKAIDO,,,,,,,,10,0,0,TRUE,TRUE,85,,,,,,,1521
,1,VENEZUELA,2,2,,,1,4,1,1,4,701,,,4,14,,,,,,3,3,,163,,,,,10.7,CUMANA,-64.1,7.3,30,,,,,9,0,4,TRUE,TRUE,74,,,,2.6,,,1530
,1,PORTUGAL,1,3,,,26,,,4,30000,704,,7.7,4,,,,,,,,4,1500,165,,,,,38.7,"TAGUS RIVER, LISBON",-9.1,,,,,,,1,2,1,TRUE,TRUE,73,,,,,,,1531
,1,ISRAEL,,,,,,,,,,,,,2,,,,,,,,,,166,,,,,,PALESTINE,,,,,,,,,0,1,TRUE,TRUE,50,,3,,,,,1534
,1,MEXICO,,3,,,,,,,,9790,,,-1,,,,,,,,,,167,,,,,,S. MEXICO,,,,,,,,,1,1,TRUE,TRUE,88,,,,,,,1537
,1,HONDURAS,1,2,,,24,,,,,5952,,,2,,,,,,,1,1,,168,,,,,16.2,CABO DE HIGUERAS,-88.5,,,,,,,11,0,1,TRUE,TRUE,74,,,,,,,1539
,1,VENEZUELA,1,1,,,25,,,,,5953,,,-1,,,,,,,,,,169,,,,,10.8,CUBAGUA ISLAND,-64.2,,,,,,,12,0,1,TRUE,TRUE,74,,,,,,,1541
,1,VENEZUELA,1,3,,,1,,,1,,715,,,1,,,,,,,,,,170,,,,,10.7,CUMANA,-64.1,,,,,,,9,0,2,TRUE,TRUE,74,,,,,,,1543
,1,JAPAN,,,,,7,,,,,6037,,,2,,,,,,,,,,171,,,,,34.8,IZU PENINSULA,139,,,,,,,2,0,1,TRUE,TRUE,85,,,,,,,1545
,1,ISRAEL,,3,,,14,,3,3,,718,,6.5,3,,,,,,,,3,,173,,,,,32,GAZA - JAFFA,35.5,,,,,,,1,0,1,TRUE,TRUE,50,,3,,,,,1546
,0,SOUTH KOREA,,,,,21,,,,,,,,1,,,,,,,,,,174,,,,,37,YELLOW SEA,126,,,,,,,10,0,2,TRUE,TRUE,84,,0.5,,,,,1556
,0,JAPAN,,,,,25,,,,,,,,1,,,,,,,,,,176,,,,,32.5,W. KYUSHU ISLAND,130.6,,,,,,,7,0,2,TRUE,TRUE,85,,,,,,,1562
,2,CHILE,3,3,,,28,,3,3,,744,,8,2,10,,,,,,,,,178,,,,,-38.7,SOUTHERN CHILE,-73.5,,,,,,,10,0,1,TRUE,TRUE,89,,3.5,,4,,,1562
,1,CHILE,3,3,,,8,2000,4,4,2000,757,,8.3,3,13,,,,,,3,3,,179,,,,,-36.75,CENTRAL CHILE,-73,,,,,,,2,0,1,TRUE,TRUE,89,,3,,2,,,1570
,0,JAPAN,,,,,20,,,,,,,,2,,,,,,,,,,181,,,,,,"TAKADA, JAPAN",,,,,,,,5,0,1,TRUE,TRUE,85,,1,,1,,,1571
,0,HOLLAND,,,,,1,,,,,,,,1,,,,,,,,,,182,,,,,,HOLLAND,,,,,,,,11,0,1,TRUE,TRUE,73,,,,,,,1571
,1,CHILE,2,3,,,16,1300,4,4,1321,767,,8.5,3,18,,,,,,2,2,,185,,,,,-39.8,SOUTHERN CHILE,-73.2,,30,,,,,12,2,3,TRUE,TRUE,89,,2.5,,2,,,1575
